"count","day"
11,"2019-31-10"
0,"2019-01-11"
1,"2019-02-11"
0,"2019-03-11"
0,"2019-04-11"
0,"2019-05-11"
0,"2019-06-11"
0,"2019-07-11"
0,"2019-08-11"
0,"2019-09-11"
0,"2019-10-11"
0,"2019-11-11"
0,"2019-12-11"
0,"2019-13-11"
0,"2019-14-11"
0,"2019-15-11"
0,"2019-16-11"
0,"2019-17-11"
0,"2019-18-11"
0,"2019-19-11"
0,"2019-20-11"
0,"2019-21-11"
0,"2019-22-11"
0,"2019-23-11"
0,"2019-24-11"
0,"2019-25-11"
0,"2019-26-11"
1672,"2019-27-11"
2778,"2019-28-11"
8532,"2019-29-11"
4836,"2019-30-11"
3206,"2019-01-12"
7758,"2019-02-12"
8486,"2019-03-12"
8591,"2019-04-12"
8353,"2019-05-12"
5881,"2019-06-12"
4324,"2019-07-12"
3087,"2019-08-12"
7088,"2019-09-12"
7764,"2019-10-12"
5170,"2019-11-12"
6883,"2019-12-12"
4209,"2019-13-12"
2988,"2019-14-12"
2849,"2019-15-12"
6282,"2019-16-12"
7014,"2019-17-12"
7322,"2019-18-12"
6918,"2019-19-12"
5806,"2019-20-12"
3883,"2019-21-12"
1915,"2019-22-12"
3226,"2019-23-12"
1096,"2019-24-12"
997,"2019-25-12"
1294,"2019-26-12"
2731,"2019-27-12"
2495,"2019-28-12"
2017,"2019-29-12"
3292,"2019-30-12"
1955,"2019-31-12"
1685,"2020-01-01"
3527,"2020-02-01"
3404,"2020-03-01"
2999,"2020-04-01"
2473,"2020-05-01"
5930,"2020-06-01"
7150,"2020-07-01"
6813,"2020-08-01"
5660,"2020-09-01"
5515,"2020-10-01"
4095,"2020-11-01"
2760,"2020-12-01"
7110,"2020-13-01"
7500,"2020-14-01"
7773,"2020-15-01"
7722,"2020-16-01"
6500,"2020-17-01"
3978,"2020-18-01"
2826,"2020-19-01"
6904,"2020-20-01"
7222,"2020-21-01"
6286,"2020-22-01"
6145,"2020-23-01"
5749,"2020-24-01"
3381,"2020-25-01"
2905,"2020-26-01"
5296,"2020-27-01"
5357,"2020-28-01"
6190,"2020-29-01"
6277,"2020-30-01"
6180,"2020-31-01"
2479,"2020-01-02"
2153,"2020-02-02"
5153,"2020-03-02"
4959,"2020-04-02"
6172,"2020-05-02"
6234,"2020-06-02"
5851,"2020-07-02"
3394,"2020-08-02"
1639,"2020-09-02"
2531,"2020-10-02"
4561,"2020-11-02"
5506,"2020-12-02"
4672,"2020-13-02"
4865,"2020-14-02"
3519,"2020-15-02"
2389,"2020-16-02"
5528,"2020-17-02"
5808,"2020-18-02"
5431,"2020-19-02"
1261,"2020-20-02"
2477,"2020-21-02"
1525,"2020-22-02"
922,"2020-23-02"
1101,"2020-24-02"
3208,"2020-25-02"
3166,"2020-26-02"
3461,"2020-27-02"
4191,"2020-28-02"
2639,"2020-29-02"
2059,"2020-01-03"
4254,"2020-02-03"
5251,"2020-03-03"
5346,"2020-04-03"
4029,"2020-05-03"
3602,"2020-06-03"
3186,"2020-07-03"
2125,"2020-08-03"
5172,"2020-09-03"
4534,"2020-10-03"
4062,"2020-11-03"
5293,"2020-12-03"
4660,"2020-13-03"
3121,"2020-14-03"
2888,"2020-15-03"
5151,"2020-16-03"
4816,"2020-17-03"
4094,"2020-18-03"
3583,"2020-19-03"
2991,"2020-20-03"
1997,"2020-21-03"
1872,"2020-22-03"
2805,"2020-23-03"
2861,"2020-24-03"
3522,"2020-25-03"
3112,"2020-26-03"
3435,"2020-27-03"
2954,"2020-28-03"
1021,"2020-29-03"
3038,"2020-30-03"
3240,"2020-31-03"
3392,"2020-01-04"
3179,"2020-02-04"
2937,"2020-03-04"
2786,"2020-04-04"
3200,"2020-05-04"
3909,"2020-06-04"
4167,"2020-07-04"
4276,"2020-08-04"
4405,"2020-09-04"
3486,"2020-10-04"
3432,"2020-11-04"
3334,"2020-12-04"
1985,"2020-13-04"
3412,"2020-14-04"
4071,"2020-15-04"
4794,"2020-16-04"
4781,"2020-17-04"
2763,"2020-18-04"
2861,"2020-19-04"
4870,"2020-20-04"
5237,"2020-21-04"
5274,"2020-22-04"
5499,"2020-23-04"
5504,"2020-24-04"
3993,"2020-25-04"
4760,"2020-26-04"
5469,"2020-27-04"
3866,"2020-28-04"
4143,"2020-29-04"
3754,"2020-30-04"
2738,"2020-01-05"
2150,"2020-02-05"
3351,"2020-03-05"
4768,"2020-04-05"
5890,"2020-05-05"
6121,"2020-06-05"
6079,"2020-07-05"
6422,"2020-08-05"
5106,"2020-09-05"
2765,"2020-10-05"
4222,"2020-11-05"
5423,"2020-12-05"
5211,"2020-13-05"
5907,"2020-14-05"
6277,"2020-15-05"
4909,"2020-16-05"
4500,"2020-17-05"
6234,"2020-18-05"
6988,"2020-19-05"
6620,"2020-20-05"
5216,"2020-21-05"
4980,"2020-22-05"
4101,"2020-23-05"
3171,"2020-24-05"
5780,"2020-25-05"
7235,"2020-26-05"
7259,"2020-27-05"
7232,"2020-28-05"
7071,"2020-29-05"
5054,"2020-30-05"
4472,"2020-31-05"
4798,"2020-01-06"
6832,"2020-02-06"
6894,"2020-03-06"
4542,"2020-04-06"
3967,"2020-05-06"
4558,"2020-06-06"
4156,"2020-07-06"
6128,"2020-08-06"
6827,"2020-09-06"
6242,"2020-10-06"
4300,"2020-11-06"
6753,"2020-12-06"
4960,"2020-13-06"
3331,"2020-14-06"
6205,"2020-15-06"
5195,"2020-16-06"
6099,"2020-17-06"
6692,"2020-18-06"
7262,"2020-19-06"
5897,"2020-20-06"
5074,"2020-21-06"
7015,"2020-22-06"
8387,"2020-23-06"
8385,"2020-24-06"
8495,"2020-25-06"
7573,"2020-26-06"
5013,"2020-27-06"
3897,"2020-28-06"
5455,"2020-29-06"
6804,"2020-30-06"
5046,"2020-01-07"
5789,"2020-02-07"
6510,"2020-03-07"
4576,"2020-04-07"
4040,"2020-05-07"
5759,"2020-06-07"
6926,"2020-07-07"
3460,"2020-08-07"
5741,"2020-09-07"
5697,"2020-10-07"
4726,"2020-11-07"
4259,"2020-12-07"
6688,"2020-13-07"
5399,"2020-14-07"
6222,"2020-15-07"
4355,"2020-16-07"
5973,"2020-17-07"
4803,"2020-18-07"
4210,"2020-19-07"
5746,"2020-20-07"
6692,"2020-21-07"
6732,"2020-22-07"
6871,"2020-23-07"
5990,"2020-24-07"
4160,"2020-25-07"
3572,"2020-26-07"
5473,"2020-27-07"
6589,"2020-28-07"
6564,"2020-29-07"
6694,"2020-30-07"
5746,"2020-31-07"
4000,"2020-01-08"
3655,"2020-02-08"
5813,"2020-03-08"
7022,"2020-04-08"
7208,"2020-05-08"
7020,"2020-06-08"
6356,"2020-07-08"
4679,"2020-08-08"
3412,"2020-09-08"
6389,"2020-10-08"
6554,"2020-11-08"
5461,"2020-12-08"
6277,"2020-13-08"
6297,"2020-14-08"
4250,"2020-15-08"
3755,"2020-16-08"
5886,"2020-17-08"
6450,"2020-18-08"
7600,"2020-19-08"
7403,"2020-20-08"
6697,"2020-21-08"
5023,"2020-22-08"
3584,"2020-23-08"
6460,"2020-24-08"
6454,"2020-25-08"
5470,"2020-26-08"
7112,"2020-27-08"
6273,"2020-28-08"
4726,"2020-29-08"
3814,"2020-30-08"
6203,"2020-31-08"
6808,"2020-01-09"
7471,"2020-02-09"
5686,"2020-03-09"
6067,"2020-04-09"
4536,"2020-05-09"
3885,"2020-06-09"
6759,"2020-07-09"
7041,"2020-08-09"
7070,"2020-09-09"
7439,"2020-10-09"
7030,"2020-11-09"
5188,"2020-12-09"
4716,"2020-13-09"
7023,"2020-14-09"
7723,"2020-15-09"
7552,"2020-16-09"
7744,"2020-17-09"
7022,"2020-18-09"
5310,"2020-19-09"
4703,"2020-20-09"
7101,"2020-21-09"
7895,"2020-22-09"
7605,"2020-23-09"
6996,"2020-24-09"
5932,"2020-25-09"
2570,"2020-26-09"
2694,"2020-27-09"
5250,"2020-28-09"
6430,"2020-29-09"
6767,"2020-30-09"
6144,"2020-01-10"
5991,"2020-02-10"
2854,"2020-03-10"
2924,"2020-04-10"
5160,"2020-05-10"
5267,"2020-06-10"
5968,"2020-07-10"
7423,"2020-08-10"
5677,"2020-09-10"
3688,"2020-10-10"
3074,"2020-11-10"
4725,"2020-12-10"
5684,"2020-13-10"
5278,"2020-14-10"
5017,"2020-15-10"
4671,"2020-16-10"
3217,"2020-17-10"
