"count","day"
1188,"2012-01-04"
1974,"2012-02-04"
2061,"2012-03-04"
1908,"2012-04-04"
1842,"2012-05-04"
904,"2012-06-04"
1195,"2012-07-04"
760,"2012-08-04"
480,"2012-09-04"
1689,"2012-10-04"
1983,"2012-11-04"
1675,"2012-12-04"
2039,"2012-13-04"
1836,"2012-14-04"
952,"2012-15-04"
2038,"2012-16-04"
2081,"2012-17-04"
1863,"2012-18-04"
1819,"2012-19-04"
2137,"2012-20-04"
1302,"2012-21-04"
984,"2012-22-04"
1993,"2012-23-04"
1716,"2012-24-04"
1823,"2012-25-04"
1763,"2012-26-04"
2019,"2012-27-04"
1968,"2012-28-04"
1428,"2012-29-04"
2497,"2012-30-04"
1541,"2012-01-05"
1817,"2012-02-05"
2258,"2012-03-05"
2217,"2012-04-05"
1120,"2012-05-05"
748,"2012-06-05"
2148,"2012-07-05"
2353,"2012-08-05"
1816,"2012-09-05"
2230,"2012-10-05"
1926,"2012-11-05"
1850,"2012-12-05"
1346,"2012-13-05"
2350,"2012-14-05"
1663,"2012-15-05"
1969,"2012-16-05"
1436,"2012-17-05"
1813,"2012-18-05"
1944,"2012-19-05"
1380,"2012-20-05"
2314,"2012-21-05"
2581,"2012-22-05"
2446,"2012-23-05"
2649,"2012-24-05"
2509,"2012-25-05"
2265,"2012-26-05"
1609,"2012-27-05"
1577,"2012-28-05"
2633,"2012-29-05"
2516,"2012-30-05"
2170,"2012-31-05"
2188,"2012-01-06"
2333,"2012-02-06"
715,"2012-03-06"
1725,"2012-04-06"
2189,"2012-05-06"
1484,"2012-06-06"
1364,"2012-07-06"
2013,"2012-08-06"
599,"2012-09-06"
383,"2012-10-06"
1802,"2012-11-06"
2364,"2012-12-06"
2232,"2012-13-06"
2327,"2012-14-06"
1933,"2012-15-06"
1430,"2012-16-06"
1680,"2012-17-06"
2337,"2012-18-06"
2312,"2012-19-06"
1591,"2012-20-06"
2501,"2012-21-06"
2491,"2012-22-06"
2274,"2012-23-06"
931,"2012-24-06"
2058,"2012-25-06"
2618,"2012-26-06"
2204,"2012-27-06"
2369,"2012-28-06"
1987,"2012-29-06"
2311,"2012-30-06"
1785,"2012-01-07"
2502,"2012-02-07"
2623,"2012-03-07"
2672,"2012-04-07"
2437,"2012-05-07"
2575,"2012-06-07"
2172,"2012-07-07"
877,"2012-08-07"
2459,"2012-09-07"
2163,"2012-10-07"
1888,"2012-11-07"
2286,"2012-12-07"
1382,"2012-13-07"
1462,"2012-14-07"
776,"2012-15-07"
1766,"2012-16-07"
1446,"2012-17-07"
2245,"2012-18-07"
1716,"2012-19-07"
1730,"2012-20-07"
1821,"2012-21-07"
1484,"2012-22-07"
2400,"2012-23-07"
2576,"2012-24-07"
2496,"2012-25-07"
2472,"2012-26-07"
2038,"2012-27-07"
1514,"2012-28-07"
1414,"2012-29-07"
2143,"2012-30-07"
2362,"2012-31-07"
2600,"2012-01-08"
2705,"2012-02-08"
2595,"2012-03-08"
2233,"2012-04-08"
1272,"2012-05-08"
2644,"2012-06-08"
2647,"2012-07-08"
2770,"2012-08-08"
2733,"2012-09-08"
2718,"2012-10-08"
2534,"2012-11-08"
1705,"2012-12-08"
2843,"2012-13-08"
2833,"2012-14-08"
2962,"2012-15-08"
2963,"2012-16-08"
2965,"2012-17-08"
2589,"2012-18-08"
1631,"2012-19-08"
2856,"2012-20-08"
3139,"2012-21-08"
3143,"2012-22-08"
3251,"2012-23-08"
3029,"2012-24-08"
2704,"2012-25-08"
1138,"2012-26-08"
3184,"2012-27-08"
3263,"2012-28-08"
3307,"2012-29-08"
3189,"2012-30-08"
2241,"2012-31-08"
2351,"2012-01-09"
1767,"2012-02-09"
3006,"2012-03-09"
3216,"2012-04-09"
3104,"2012-05-09"
3297,"2012-06-09"
3208,"2012-07-09"
2880,"2012-08-09"
1992,"2012-09-09"
3430,"2012-10-09"
2446,"2012-11-09"
2593,"2012-12-09"
2311,"2012-13-09"
2490,"2012-14-09"
2332,"2012-15-09"
2164,"2012-16-09"
2732,"2012-17-09"
