"count","day"
170,"2015-18-05"
210,"2015-19-05"
293,"2015-20-05"
382,"2015-21-05"
392,"2015-22-05"
1506,"2015-23-05"
3514,"2015-24-05"
1042,"2015-25-05"
1363,"2015-26-05"
1993,"2015-27-05"
1609,"2015-28-05"
1699,"2015-29-05"
1143,"2015-30-05"
1618,"2015-31-05"
1558,"2015-01-06"
1231,"2015-02-06"
1658,"2015-03-06"
4529,"2015-04-06"
2544,"2015-05-06"
1671,"2015-06-06"
3494,"2015-07-06"
1965,"2015-08-06"
2003,"2015-09-06"
2174,"2015-10-06"
2403,"2015-11-06"
1959,"2015-12-06"
1614,"2015-13-06"
3610,"2015-14-06"
1571,"2015-15-06"
1869,"2015-16-06"
2351,"2015-17-06"
1150,"2015-18-06"
788,"2015-19-06"
1003,"2015-20-06"
1269,"2015-21-06"
543,"2015-22-06"
789,"2015-23-06"
1817,"2015-24-06"
2513,"2015-25-06"
2265,"2015-26-06"
1491,"2015-27-06"
3682,"2015-28-06"
2486,"2015-29-06"
3048,"2015-30-06"
2689,"2015-01-07"
2250,"2015-02-07"
1899,"2015-03-07"
1567,"2015-04-07"
1293,"2015-05-07"
2283,"2015-06-07"
1394,"2015-07-07"
1058,"2015-08-07"
1461,"2015-09-07"
2669,"2015-10-07"
2972,"2015-11-07"
1577,"2015-12-07"
738,"2015-13-07"
1239,"2015-14-07"
1910,"2015-15-07"
2705,"2015-16-07"
2101,"2015-17-07"
2469,"2015-18-07"
1431,"2015-19-07"
1445,"2015-20-07"
2128,"2015-21-07"
2544,"2015-22-07"
2544,"2015-23-07"
2147,"2015-24-07"
320,"2015-25-07"
3278,"2015-26-07"
742,"2015-27-07"
1253,"2015-28-07"
1487,"2015-29-07"
1258,"2015-30-07"
2176,"2015-31-07"
2788,"2015-01-08"
4087,"2015-02-08"
2827,"2015-03-08"
1175,"2015-04-08"
3183,"2015-05-08"
2921,"2015-06-08"
2305,"2015-07-08"
1763,"2015-08-08"
3152,"2015-09-08"
671,"2015-10-08"
2590,"2015-11-08"
2794,"2015-12-08"
2875,"2015-13-08"
2339,"2015-14-08"
1681,"2015-15-08"
254,"2015-16-08"
601,"2015-17-08"
1700,"2015-18-08"
2564,"2015-19-08"
2894,"2015-20-08"
3036,"2015-21-08"
3012,"2015-22-08"
3216,"2015-23-08"
1469,"2015-24-08"
1598,"2015-25-08"
2847,"2015-26-08"
719,"2015-27-08"
2133,"2015-28-08"
2862,"2015-29-08"
3293,"2015-30-08"
2444,"2015-31-08"
794,"2015-01-09"
2109,"2015-02-09"
1837,"2015-03-09"
1652,"2015-04-09"
887,"2015-05-09"
1220,"2015-06-09"
878,"2015-07-09"
1483,"2015-08-09"
2120,"2015-09-09"
2294,"2015-10-09"
2177,"2015-11-09"
1074,"2015-12-09"
928,"2015-13-09"
1051,"2015-14-09"
1347,"2015-15-09"
603,"2015-16-09"
922,"2015-17-09"
1596,"2015-18-09"
968,"2015-19-09"
1752,"2015-20-09"
1783,"2015-21-09"
752,"2015-22-09"
809,"2015-23-09"
1548,"2015-24-09"
1582,"2015-25-09"
1235,"2015-26-09"
2376,"2015-27-09"
1821,"2015-28-09"
1902,"2015-29-09"
1868,"2015-30-09"
1835,"2015-01-10"
1779,"2015-02-10"
2453,"2015-03-10"
1665,"2015-04-10"
1196,"2015-05-10"
863,"2015-06-10"
950,"2015-07-10"
577,"2015-08-10"
972,"2015-09-10"
1049,"2015-10-10"
1903,"2015-11-10"
1091,"2015-12-10"
914,"2015-13-10"
571,"2015-14-10"
499,"2015-15-10"
674,"2015-16-10"
524,"2015-17-10"
989,"2015-18-10"
994,"2015-19-10"
995,"2015-20-10"
1315,"2015-21-10"
945,"2015-22-10"
1380,"2015-23-10"
924,"2015-24-10"
892,"2015-25-10"
1581,"2015-26-10"
1807,"2015-27-10"
1174,"2015-28-10"
1418,"2015-29-10"
1296,"2015-30-10"
1013,"2015-31-10"
1743,"2015-01-11"
1527,"2015-02-11"
1505,"2015-03-11"
1342,"2015-04-11"
1243,"2015-05-11"
1192,"2015-06-11"
852,"2015-07-11"
1794,"2015-08-11"
1153,"2015-09-11"
1207,"2015-10-11"
1175,"2015-11-11"
1280,"2015-12-11"
826,"2015-13-11"
476,"2015-14-11"
394,"2015-15-11"
996,"2015-16-11"
676,"2015-17-11"
985,"2015-18-11"
696,"2015-19-11"
633,"2015-20-11"
600,"2015-21-11"
419,"2015-22-11"
988,"2015-23-11"
714,"2015-24-11"
600,"2015-25-11"
940,"2015-26-11"
902,"2015-27-11"
471,"2015-28-11"
189,"2015-29-11"
536,"2015-30-11"
392,"2015-01-12"
969,"2015-02-12"
1155,"2015-03-12"
684,"2015-04-12"
552,"2015-05-12"
526,"2015-06-12"
1134,"2015-07-12"
1290,"2015-08-12"
1025,"2015-09-12"
1043,"2015-10-12"
474,"2015-11-12"
483,"2015-12-12"
267,"2015-13-12"
1018,"2015-14-12"
1058,"2015-15-12"
577,"2015-16-12"
1127,"2015-17-12"
912,"2015-18-12"
876,"2015-19-12"
625,"2015-20-12"
899,"2015-21-12"
736,"2015-22-12"
756,"2015-23-12"
413,"2015-24-12"
134,"2015-25-12"
1142,"2015-26-12"
956,"2015-27-12"
958,"2015-28-12"
783,"2015-29-12"
627,"2015-30-12"
513,"2015-31-12"
452,"2016-01-01"
191,"2016-02-01"
440,"2016-03-01"
434,"2016-04-01"
824,"2016-05-01"
840,"2016-06-01"
594,"2016-07-01"
1141,"2016-08-01"
748,"2016-09-01"
879,"2016-10-01"
719,"2016-11-01"
848,"2016-12-01"
469,"2016-13-01"
616,"2016-14-01"
468,"2016-15-01"
234,"2016-16-01"
276,"2016-17-01"
615,"2016-18-01"
572,"2016-19-01"
585,"2016-20-01"
719,"2016-21-01"
636,"2016-22-01"
394,"2016-23-01"
349,"2016-24-01"
1188,"2016-25-01"
976,"2016-26-01"
791,"2016-27-01"
1095,"2016-28-01"
783,"2016-29-01"
136,"2016-30-01"
352,"2016-31-01"
749,"2016-01-02"
405,"2016-02-02"
755,"2016-03-02"
350,"2016-04-02"
443,"2016-05-02"
715,"2016-06-02"
381,"2016-07-02"
199,"2016-08-02"
403,"2016-09-02"
452,"2016-10-02"
802,"2016-11-02"
