"count","day"
431,"2015-26-05"
733,"2015-27-05"
659,"2015-28-05"
636,"2015-29-05"
382,"2015-30-05"
364,"2015-31-05"
723,"2015-01-06"
607,"2015-02-06"
764,"2015-03-06"
1090,"2015-04-06"
934,"2015-05-06"
527,"2015-06-06"
1145,"2015-07-06"
860,"2015-08-06"
882,"2015-09-06"
894,"2015-10-06"
1032,"2015-11-06"
760,"2015-12-06"
620,"2015-13-06"
1084,"2015-14-06"
849,"2015-15-06"
842,"2015-16-06"
916,"2015-17-06"
603,"2015-18-06"
435,"2015-19-06"
398,"2015-20-06"
391,"2015-21-06"
333,"2015-22-06"
447,"2015-23-06"
730,"2015-24-06"
929,"2015-25-06"
815,"2015-26-06"
517,"2015-27-06"
841,"2015-28-06"
854,"2015-29-06"
1035,"2015-30-06"
1059,"2015-01-07"
924,"2015-02-07"
836,"2015-03-07"
546,"2015-04-07"
453,"2015-05-07"
869,"2015-06-07"
655,"2015-07-07"
527,"2015-08-07"
579,"2015-09-07"
805,"2015-10-07"
628,"2015-11-07"
332,"2015-12-07"
346,"2015-13-07"
555,"2015-14-07"
652,"2015-15-07"
769,"2015-16-07"
760,"2015-17-07"
593,"2015-18-07"
263,"2015-19-07"
473,"2015-20-07"
632,"2015-21-07"
724,"2015-22-07"
691,"2015-23-07"
619,"2015-24-07"
172,"2015-25-07"
489,"2015-26-07"
327,"2015-27-07"
497,"2015-28-07"
448,"2015-29-07"
430,"2015-30-07"
687,"2015-31-07"
650,"2015-01-08"
1003,"2015-02-08"
910,"2015-03-08"
412,"2015-04-08"
857,"2015-05-08"
910,"2015-06-08"
692,"2015-07-08"
400,"2015-08-08"
619,"2015-09-08"
287,"2015-10-08"
850,"2015-11-08"
854,"2015-12-08"
1065,"2015-13-08"
707,"2015-14-08"
463,"2015-15-08"
122,"2015-16-08"
311,"2015-17-08"
634,"2015-18-08"
846,"2015-19-08"
920,"2015-20-08"
940,"2015-21-08"
724,"2015-22-08"
860,"2015-23-08"
652,"2015-24-08"
688,"2015-25-08"
888,"2015-26-08"
384,"2015-27-08"
709,"2015-28-08"
694,"2015-29-08"
870,"2015-30-08"
925,"2015-31-08"
315,"2015-01-09"
770,"2015-02-09"
698,"2015-03-09"
641,"2015-04-09"
178,"2015-05-09"
494,"2015-06-09"
469,"2015-07-09"
548,"2015-08-09"
759,"2015-09-09"
804,"2015-10-09"
731,"2015-11-09"
351,"2015-12-09"
257,"2015-13-09"
500,"2015-14-09"
588,"2015-15-09"
323,"2015-16-09"
428,"2015-17-09"
569,"2015-18-09"
330,"2015-19-09"
454,"2015-20-09"
723,"2015-21-09"
384,"2015-22-09"
401,"2015-23-09"
652,"2015-24-09"
568,"2015-25-09"
376,"2015-26-09"
605,"2015-27-09"
692,"2015-28-09"
684,"2015-29-09"
763,"2015-30-09"
685,"2015-01-10"
651,"2015-02-10"
554,"2015-03-10"
514,"2015-04-10"
507,"2015-05-10"
422,"2015-06-10"
447,"2015-07-10"
284,"2015-08-10"
399,"2015-09-10"
302,"2015-10-10"
586,"2015-11-10"
518,"2015-12-10"
400,"2015-13-10"
259,"2015-14-10"
260,"2015-15-10"
299,"2015-16-10"
219,"2015-17-10"
318,"2015-18-10"
513,"2015-19-10"
503,"2015-20-10"
589,"2015-21-10"
526,"2015-22-10"
573,"2015-23-10"
407,"2015-24-10"
271,"2015-25-10"
756,"2015-26-10"
681,"2015-27-10"
621,"2015-28-10"
657,"2015-29-10"
535,"2015-30-10"
327,"2015-31-10"
474,"2015-01-11"
675,"2015-02-11"
629,"2015-03-11"
554,"2015-04-11"
602,"2015-05-11"
523,"2015-06-11"
283,"2015-07-11"
604,"2015-08-11"
590,"2015-09-11"
645,"2015-10-11"
574,"2015-11-11"
603,"2015-12-11"
417,"2015-13-11"
247,"2015-14-11"
197,"2015-15-11"
471,"2015-16-11"
379,"2015-17-11"
508,"2015-18-11"
411,"2015-19-11"
353,"2015-20-11"
264,"2015-21-11"
177,"2015-22-11"
506,"2015-23-11"
406,"2015-24-11"
316,"2015-25-11"
440,"2015-26-11"
396,"2015-27-11"
242,"2015-28-11"
105,"2015-29-11"
303,"2015-30-11"
249,"2015-01-12"
498,"2015-02-12"
536,"2015-03-12"
302,"2015-04-12"
229,"2015-05-12"
180,"2015-06-12"
549,"2015-07-12"
550,"2015-08-12"
542,"2015-09-12"
497,"2015-10-12"
240,"2015-11-12"
209,"2015-12-12"
101,"2015-13-12"
475,"2015-14-12"
501,"2015-15-12"
331,"2015-16-12"
478,"2015-17-12"
446,"2015-18-12"
290,"2015-19-12"
231,"2015-20-12"
416,"2015-21-12"
354,"2015-22-12"
308,"2015-23-12"
180,"2015-24-12"
50,"2015-25-12"
210,"2015-26-12"
236,"2015-27-12"
309,"2015-28-12"
325,"2015-29-12"
250,"2015-30-12"
161,"2015-31-12"
155,"2016-01-01"
100,"2016-02-01"
200,"2016-03-01"
236,"2016-04-01"
327,"2016-05-01"
369,"2016-06-01"
348,"2016-07-01"
444,"2016-08-01"
264,"2016-09-01"
339,"2016-10-01"
361,"2016-11-01"
436,"2016-12-01"
326,"2016-13-01"
339,"2016-14-01"
321,"2016-15-01"
145,"2016-16-01"
142,"2016-17-01"
319,"2016-18-01"
364,"2016-19-01"
347,"2016-20-01"
352,"2016-21-01"
322,"2016-22-01"
134,"2016-23-01"
120,"2016-24-01"
476,"2016-25-01"
481,"2016-26-01"
459,"2016-27-01"
483,"2016-28-01"
421,"2016-29-01"
113,"2016-30-01"
166,"2016-31-01"
373,"2016-01-02"
259,"2016-02-02"
398,"2016-03-02"
189,"2016-04-02"
250,"2016-05-02"
316,"2016-06-02"
215,"2016-07-02"
123,"2016-08-02"
209,"2016-09-02"
334,"2016-10-02"
460,"2016-11-02"
439,"2016-12-02"
175,"2016-13-02"
144,"2016-14-02"
307,"2016-15-02"
452,"2016-16-02"
504,"2016-17-02"
439,"2016-18-02"
356,"2016-19-02"
127,"2016-20-02"
161,"2016-21-02"
351,"2016-22-02"
326,"2016-23-02"
416,"2016-24-02"
370,"2016-25-02"
404,"2016-26-02"
338,"2016-27-02"
222,"2016-28-02"
430,"2016-29-02"
413,"2016-01-03"
396,"2016-02-03"
316,"2016-03-03"
318,"2016-04-03"
143,"2016-05-03"
164,"2016-06-03"
396,"2016-07-03"
420,"2016-08-03"
499,"2016-09-03"
460,"2016-10-03"
472,"2016-11-03"
328,"2016-12-03"
476,"2016-13-03"
616,"2016-14-03"
484,"2016-15-03"
561,"2016-16-03"
596,"2016-17-03"
385,"2016-18-03"
182,"2016-19-03"
235,"2016-20-03"
369,"2016-21-03"
386,"2016-22-03"
397,"2016-23-03"
340,"2016-24-03"
81,"2016-25-03"
353,"2016-26-03"
160,"2016-27-03"
128,"2016-28-03"
348,"2016-29-03"
389,"2016-30-03"
231,"2016-31-03"
505,"2016-01-04"
568,"2016-02-04"
748,"2016-03-04"
671,"2016-04-04"
350,"2016-05-04"
623,"2016-06-04"
601,"2016-07-04"
538,"2016-08-04"
612,"2016-09-04"
692,"2016-10-04"
905,"2016-11-04"
