"count","day"
2702,"2018-18-05"
1902,"2018-19-05"
2369,"2018-20-05"
2439,"2018-21-05"
2907,"2018-22-05"
2499,"2018-23-05"
2962,"2018-24-05"
3655,"2018-25-05"
2972,"2018-26-05"
2090,"2018-27-05"
4539,"2018-28-05"
4342,"2018-29-05"
5139,"2018-30-05"
3143,"2018-31-05"
1571,"2018-01-06"
2348,"2018-02-06"
3001,"2018-03-06"
4716,"2018-04-06"
4745,"2018-05-06"
5225,"2018-06-06"
4314,"2018-07-06"
3090,"2018-08-06"
3275,"2018-09-06"
3769,"2018-10-06"
4155,"2018-11-06"
3557,"2018-12-06"
4088,"2018-13-06"
3925,"2018-14-06"
3878,"2018-15-06"
2670,"2018-16-06"
2360,"2018-17-06"
3917,"2018-18-06"
4311,"2018-19-06"
5023,"2018-20-06"
4060,"2018-21-06"
3606,"2018-22-06"
2124,"2018-23-06"
2141,"2018-24-06"
4031,"2018-25-06"
4986,"2018-26-06"
5405,"2018-27-06"
5062,"2018-28-06"
4811,"2018-29-06"
3133,"2018-30-06"
3015,"2018-01-07"
5060,"2018-02-07"
5612,"2018-03-07"
4833,"2018-04-07"
4900,"2018-05-07"
4651,"2018-06-07"
3191,"2018-07-07"
4063,"2018-08-07"
4720,"2018-09-07"
4138,"2018-10-07"
4365,"2018-11-07"
4809,"2018-12-07"
5187,"2018-13-07"
3197,"2018-14-07"
3120,"2018-15-07"
4569,"2018-16-07"
4462,"2018-17-07"
4603,"2018-18-07"
4528,"2018-19-07"
3769,"2018-20-07"
2565,"2018-21-07"
2658,"2018-22-07"
3788,"2018-23-07"
4296,"2018-24-07"
4030,"2018-25-07"
3799,"2018-26-07"
3448,"2018-27-07"
1943,"2018-28-07"
2113,"2018-29-07"
3502,"2018-30-07"
3671,"2018-31-07"
3534,"2018-01-08"
3657,"2018-02-08"
3200,"2018-03-08"
2097,"2018-04-08"
2430,"2018-05-08"
3309,"2018-06-08"
3324,"2018-07-08"
2727,"2018-08-08"
2653,"2018-09-08"
2969,"2018-10-08"
2070,"2018-11-08"
2132,"2018-12-08"
2149,"2018-13-08"
2609,"2018-14-08"
3267,"2018-15-08"
3515,"2018-16-08"
2248,"2018-17-08"
2230,"2018-18-08"
2309,"2018-19-08"
2840,"2018-20-08"
3343,"2018-21-08"
3651,"2018-22-08"
3674,"2018-23-08"
2735,"2018-24-08"
1463,"2018-25-08"
2146,"2018-26-08"
3328,"2018-27-08"
3788,"2018-28-08"
3398,"2018-29-08"
3575,"2018-30-08"
3522,"2018-31-08"
2179,"2018-01-09"
2847,"2018-02-09"
3541,"2018-03-09"
4054,"2018-04-09"
3923,"2018-05-09"
2736,"2018-06-09"
3294,"2018-07-09"
2306,"2018-08-09"
2239,"2018-09-09"
4082,"2018-10-09"
4558,"2018-11-09"
4254,"2018-12-09"
3208,"2018-13-09"
3589,"2018-14-09"
2152,"2018-15-09"
2624,"2018-16-09"
4112,"2018-17-09"
4845,"2018-18-09"
4585,"2018-19-09"
4510,"2018-20-09"
3043,"2018-21-09"
1424,"2018-22-09"
493,"2018-23-09"
3519,"2018-24-09"
4044,"2018-25-09"
4013,"2018-26-09"
4117,"2018-27-09"
3174,"2018-28-09"
2828,"2018-29-09"
2077,"2018-30-09"
3452,"2018-01-10"
3038,"2018-02-10"
1804,"2018-03-10"
3688,"2018-04-10"
3754,"2018-05-10"
2866,"2018-06-10"
1706,"2018-07-10"
4321,"2018-08-10"
4187,"2018-09-10"
4590,"2018-10-10"
4415,"2018-11-10"
4267,"2018-12-10"
2665,"2018-13-10"
2838,"2018-14-10"
3874,"2018-15-10"
3961,"2018-16-10"
3778,"2018-17-10"
3429,"2018-18-10"
3013,"2018-19-10"
1785,"2018-20-10"
1847,"2018-21-10"
3126,"2018-22-10"
3287,"2018-23-10"
2808,"2018-24-10"
3267,"2018-25-10"
2765,"2018-26-10"
1559,"2018-27-10"
1392,"2018-28-10"
3676,"2018-29-10"
2704,"2018-30-10"
3603,"2018-31-10"
1022,"2018-01-11"
2649,"2018-02-11"
1729,"2018-03-11"
1398,"2018-04-11"
3441,"2018-05-11"
3699,"2018-06-11"
3562,"2018-07-11"
3767,"2018-08-11"
3331,"2018-09-11"
1221,"2018-10-11"
1321,"2018-11-11"
3187,"2018-12-11"
3939,"2018-13-11"
3415,"2018-14-11"
3412,"2018-15-11"
3240,"2018-16-11"
1759,"2018-17-11"
1345,"2018-18-11"
3391,"2018-19-11"
3412,"2018-20-11"
3025,"2018-21-11"
3083,"2018-22-11"
2696,"2018-23-11"
873,"2018-24-11"
851,"2018-25-11"
2960,"2018-26-11"
3093,"2018-27-11"
2889,"2018-28-11"
2777,"2018-29-11"
2956,"2018-30-11"
1581,"2018-01-12"
901,"2018-02-12"
2791,"2018-03-12"
3024,"2018-04-12"
2933,"2018-05-12"
3047,"2018-06-12"
2483,"2018-07-12"
1045,"2018-08-12"
766,"2018-09-12"
2968,"2018-10-12"
3313,"2018-11-12"
2735,"2018-12-12"
2935,"2018-13-12"
2591,"2018-14-12"
1144,"2018-15-12"
663,"2018-16-12"
2505,"2018-17-12"
3108,"2018-18-12"
2892,"2018-19-12"
2887,"2018-20-12"
1564,"2018-21-12"
1050,"2018-22-12"
357,"2018-23-12"
483,"2018-24-12"
331,"2018-25-12"
476,"2018-26-12"
856,"2018-27-12"
989,"2018-28-12"
685,"2018-29-12"
755,"2018-30-12"
761,"2018-31-12"
419,"2019-01-01"
1566,"2019-02-01"
1618,"2019-03-01"
1660,"2019-04-01"
822,"2019-05-01"
731,"2019-06-01"
2869,"2019-07-01"
2641,"2019-08-01"
2957,"2019-09-01"
2577,"2019-10-01"
2021,"2019-11-01"
980,"2019-12-01"
464,"2019-13-01"
2566,"2019-14-01"
3110,"2019-15-01"
3116,"2019-16-01"
2600,"2019-17-01"
2272,"2019-18-01"
1317,"2019-19-01"
1001,"2019-20-01"
2561,"2019-21-01"
2628,"2019-22-01"
1509,"2019-23-01"
1885,"2019-24-01"
1900,"2019-25-01"
1076,"2019-26-01"
727,"2019-27-01"
794,"2019-28-01"
0,"2019-29-01"
0,"2019-30-01"
782,"2019-31-01"
901,"2019-01-02"
721,"2019-02-02"
615,"2019-03-02"
1724,"2019-04-02"
