"count","day"
7133,"2014-01-07"
7462,"2014-02-07"
7551,"2014-03-07"
6872,"2014-04-07"
3992,"2014-05-07"
3687,"2014-06-07"
6359,"2014-07-07"
1508,"2014-08-07"
1401,"2014-09-07"
5351,"2014-10-07"
5011,"2014-11-07"
3982,"2014-12-07"
3542,"2014-13-07"
5391,"2014-14-07"
5861,"2014-15-07"
6758,"2014-16-07"
6803,"2014-17-07"
6177,"2014-18-07"
5086,"2014-19-07"
3079,"2014-20-07"
2854,"2014-21-07"
5771,"2014-22-07"
5984,"2014-23-07"
5009,"2014-24-07"
5676,"2014-25-07"
5063,"2014-26-07"
3738,"2014-27-07"
4449,"2014-28-07"
3985,"2014-29-07"
5535,"2014-30-07"
6199,"2014-31-07"
5658,"2014-01-08"
4284,"2014-02-08"
3139,"2014-03-08"
4243,"2014-04-08"
5643,"2014-05-08"
5141,"2014-06-08"
5210,"2014-07-08"
4569,"2014-08-08"
3334,"2014-09-08"
1977,"2014-10-08"
4848,"2014-11-08"
4863,"2014-12-08"
4490,"2014-13-08"
4531,"2014-14-08"
3438,"2014-15-08"
3824,"2014-16-08"
2824,"2014-17-08"
4902,"2014-18-08"
4383,"2014-19-08"
5531,"2014-20-08"
5550,"2014-21-08"
5191,"2014-22-08"
4024,"2014-23-08"
3186,"2014-24-08"
4443,"2014-25-08"
2733,"2014-26-08"
6193,"2014-27-08"
5796,"2014-28-08"
5395,"2014-29-08"
3885,"2014-30-08"
2061,"2014-31-08"
5311,"2014-01-09"
6080,"2014-02-09"
6019,"2014-03-09"
6461,"2014-04-09"
5975,"2014-05-09"
4973,"2014-06-09"
3587,"2014-07-09"
6006,"2014-08-09"
6075,"2014-09-09"
5591,"2014-10-09"
5783,"2014-11-09"
6062,"2014-12-09"
4800,"2014-13-09"
3350,"2014-14-09"
5855,"2014-15-09"
6389,"2014-16-09"
7049,"2014-17-09"
5686,"2014-18-09"
5255,"2014-19-09"
4005,"2014-20-09"
2415,"2014-21-09"
4930,"2014-22-09"
