"count","day"
2196,"2016-01-04"
1704,"2016-02-04"
1391,"2016-03-04"
2971,"2016-04-04"
1709,"2016-05-04"
2859,"2016-06-04"
2819,"2016-07-04"
2685,"2016-08-04"
1697,"2016-09-04"
1665,"2016-10-04"
3614,"2016-11-04"
3126,"2016-12-04"
3206,"2016-13-04"
3560,"2016-14-04"
2705,"2016-15-04"
1308,"2016-16-04"
1614,"2016-17-04"
3298,"2016-18-04"
2815,"2016-19-04"
3561,"2016-20-04"
3693,"2016-21-04"
2911,"2016-22-04"
943,"2016-23-04"
661,"2016-24-04"
1740,"2016-25-04"
1799,"2016-26-04"
2535,"2016-27-04"
2482,"2016-28-04"
2283,"2016-29-04"
816,"2016-30-04"
1293,"2016-01-05"
3526,"2016-02-05"
2693,"2016-03-05"
3427,"2016-04-05"
2383,"2016-05-05"
2863,"2016-06-05"
1879,"2016-07-05"
1878,"2016-08-05"
3611,"2016-09-05"
3363,"2016-10-05"
3747,"2016-11-05"
3808,"2016-12-05"
3105,"2016-13-05"
1080,"2016-14-05"
876,"2016-15-05"
1158,"2016-16-05"
2819,"2016-17-05"
2815,"2016-18-05"
2905,"2016-19-05"
2778,"2016-20-05"
1923,"2016-21-05"
1087,"2016-22-05"
1478,"2016-23-05"
2304,"2016-24-05"
2887,"2016-25-05"
2245,"2016-26-05"
1982,"2016-27-05"
1480,"2016-28-05"
1275,"2016-29-05"
1567,"2016-30-05"
3015,"2016-31-05"
1361,"2016-01-06"
2451,"2016-02-06"
2218,"2016-03-06"
976,"2016-04-06"
1465,"2016-05-06"
3253,"2016-06-06"
3339,"2016-07-06"
3520,"2016-08-06"
3708,"2016-09-06"
3309,"2016-10-06"
1804,"2016-11-06"
1092,"2016-12-06"
2141,"2016-13-06"
2456,"2016-14-06"
2165,"2016-15-06"
2812,"2016-16-06"
1858,"2016-17-06"
1007,"2016-18-06"
1330,"2016-19-06"
2595,"2016-20-06"
2576,"2016-21-06"
3484,"2016-22-06"
3922,"2016-23-06"
2524,"2016-24-06"
608,"2016-25-06"
1436,"2016-26-06"
2567,"2016-27-06"
3168,"2016-28-06"
3382,"2016-29-06"
2663,"2016-30-06"
2439,"2016-01-07"
1369,"2016-02-07"
1605,"2016-03-07"
3100,"2016-04-07"
3041,"2016-05-07"
3184,"2016-06-07"
3671,"2016-07-07"
2936,"2016-08-07"
2001,"2016-09-07"
2095,"2016-10-07"
3209,"2016-11-07"
2934,"2016-12-07"
2476,"2016-13-07"
2985,"2016-14-07"
2573,"2016-15-07"
1439,"2016-16-07"
1511,"2016-17-07"
3345,"2016-18-07"
3613,"2016-19-07"
3292,"2016-20-07"
2930,"2016-21-07"
2757,"2016-22-07"
1278,"2016-23-07"
1999,"2016-24-07"
3249,"2016-25-07"
3248,"2016-26-07"
3362,"2016-27-07"
1839,"2016-28-07"
2021,"2016-29-07"
1602,"2016-30-07"
1553,"2016-31-07"
2934,"2016-01-08"
1186,"2016-02-08"
1173,"2016-03-08"
2648,"2016-04-08"
2339,"2016-05-08"
1710,"2016-06-08"
2256,"2016-07-08"
2784,"2016-08-08"
2689,"2016-09-08"
1778,"2016-10-08"
1956,"2016-11-08"
1884,"2016-12-08"
1617,"2016-13-08"
1919,"2016-14-08"
3214,"2016-15-08"
3657,"2016-16-08"
3878,"2016-17-08"
3881,"2016-18-08"
3299,"2016-19-08"
1903,"2016-20-08"
1268,"2016-21-08"
2502,"2016-22-08"
3961,"2016-23-08"
4008,"2016-24-08"
3832,"2016-25-08"
3610,"2016-26-08"
1801,"2016-27-08"
1782,"2016-28-08"
3216,"2016-29-08"
3845,"2016-30-08"
3908,"2016-31-08"
3822,"2016-01-09"
3749,"2016-02-09"
2736,"2016-03-09"
627,"2016-04-09"
3097,"2016-05-09"
3925,"2016-06-09"
4137,"2016-07-09"
4037,"2016-08-09"
3780,"2016-09-09"
2386,"2016-10-09"
2082,"2016-11-09"
3818,"2016-12-09"
4066,"2016-13-09"
4236,"2016-14-09"
4051,"2016-15-09"
3261,"2016-16-09"
2020,"2016-17-09"
1424,"2016-18-09"
3363,"2016-19-09"
3538,"2016-20-09"
3934,"2016-21-09"
3926,"2016-22-09"
3636,"2016-23-09"
2279,"2016-24-09"
2200,"2016-25-09"
3472,"2016-26-09"
3785,"2016-27-09"
3573,"2016-28-09"
3890,"2016-29-09"
3020,"2016-30-09"
1243,"2016-01-10"
1245,"2016-02-10"
1203,"2016-03-10"
3064,"2016-04-10"
3379,"2016-05-10"
3095,"2016-06-10"
2757,"2016-07-10"
1443,"2016-08-10"
1255,"2016-09-10"
2414,"2016-10-10"
2538,"2016-11-10"
2127,"2016-12-10"
2565,"2016-13-10"
2305,"2016-14-10"
1021,"2016-15-10"
1675,"2016-16-10"
2431,"2016-17-10"
2550,"2016-18-10"
1837,"2016-19-10"
1587,"2016-20-10"
1754,"2016-21-10"
932,"2016-22-10"
1002,"2016-23-10"
1772,"2016-24-10"
2300,"2016-25-10"
3050,"2016-26-10"
3158,"2016-27-10"
2785,"2016-28-10"
1546,"2016-29-10"
1581,"2016-30-10"
2536,"2016-31-10"
1211,"2016-01-11"
2361,"2016-02-11"
2812,"2016-03-11"
2474,"2016-04-11"
1001,"2016-05-11"
827,"2016-06-11"
1414,"2016-07-11"
2216,"2016-08-11"
1691,"2016-09-11"
1773,"2016-10-11"
1556,"2016-11-11"
939,"2016-12-11"
749,"2016-13-11"
2264,"2016-14-11"
1432,"2016-15-11"
1298,"2016-16-11"
1655,"2016-17-11"
1573,"2016-18-11"
920,"2016-19-11"
705,"2016-20-11"
1911,"2016-21-11"
2327,"2016-22-11"
2398,"2016-23-11"
2542,"2016-24-11"
2334,"2016-25-11"
940,"2016-26-11"
700,"2016-27-11"
2230,"2016-28-11"
2250,"2016-29-11"
2073,"2016-30-11"
2060,"2016-01-12"
1695,"2016-02-12"
706,"2016-03-12"
980,"2016-04-12"
1998,"2016-05-12"
2004,"2016-06-12"
1990,"2016-07-12"
2198,"2016-08-12"
1899,"2016-09-12"
775,"2016-10-12"
590,"2016-11-12"
1864,"2016-12-12"
1808,"2016-13-12"
2151,"2016-14-12"
2262,"2016-15-12"
1960,"2016-16-12"
683,"2016-17-12"
604,"2016-18-12"
2136,"2016-19-12"
2175,"2016-20-12"
1934,"2016-21-12"
1008,"2016-22-12"
1187,"2016-23-12"
415,"2016-24-12"
284,"2016-25-12"
313,"2016-26-12"
1009,"2016-27-12"
1123,"2016-28-12"
1292,"2016-29-12"
1133,"2016-30-12"
388,"2016-31-12"
328,"2017-01-01"
711,"2017-02-01"
1164,"2017-03-01"
908,"2017-04-01"
1528,"2017-05-01"
1168,"2017-06-01"
306,"2017-07-01"
310,"2017-08-01"
1732,"2017-09-01"
1545,"2017-10-01"
1710,"2017-11-01"
1687,"2017-12-01"
944,"2017-13-01"
578,"2017-14-01"
533,"2017-15-01"
1974,"2017-16-01"
1897,"2017-17-01"
1828,"2017-18-01"
1872,"2017-19-01"
1737,"2017-20-01"
743,"2017-21-01"
719,"2017-22-01"
1695,"2017-23-01"
1306,"2017-24-01"
1709,"2017-25-01"
1859,"2017-26-01"
1786,"2017-27-01"
733,"2017-28-01"
681,"2017-29-01"
1314,"2017-30-01"
1953,"2017-31-01"
2006,"2017-01-02"
2119,"2017-02-02"
1509,"2017-03-02"
637,"2017-04-02"
865,"2017-05-02"
2181,"2017-06-02"
1691,"2017-07-02"
1982,"2017-08-02"
2178,"2017-09-02"
1790,"2017-10-02"
464,"2017-11-02"
701,"2017-12-02"
2208,"2017-13-02"
2442,"2017-14-02"
2619,"2017-15-02"
1878,"2017-16-02"
1589,"2017-17-02"
897,"2017-18-02"
658,"2017-19-02"
1761,"2017-20-02"
2041,"2017-21-02"
1297,"2017-22-02"
822,"2017-23-02"
1208,"2017-24-02"
656,"2017-25-02"
575,"2017-26-02"
462,"2017-27-02"
1280,"2017-28-02"
1509,"2017-01-03"
1737,"2017-02-03"
2052,"2017-03-03"
938,"2017-04-03"
677,"2017-05-03"
1359,"2017-06-03"
1716,"2017-07-03"
1321,"2017-08-03"
1628,"2017-09-03"
2211,"2017-10-03"
1357,"2017-11-03"
1412,"2017-12-03"
2890,"2017-13-03"
3133,"2017-14-03"
3096,"2017-15-03"
3484,"2017-16-03"
2332,"2017-17-03"
516,"2017-18-03"
774,"2017-19-03"
2508,"2017-20-03"
2604,"2017-21-03"
2804,"2017-22-03"
3287,"2017-23-03"
2861,"2017-24-03"
1667,"2017-25-03"
1654,"2017-26-03"
3294,"2017-27-03"
3506,"2017-28-03"
3008,"2017-29-03"
3572,"2017-30-03"
3324,"2017-31-03"
1341,"2017-01-04"
1780,"2017-02-04"
3132,"2017-03-04"
3467,"2017-04-04"
3204,"2017-05-04"
2992,"2017-06-04"
2804,"2017-07-04"
1492,"2017-08-04"
2210,"2017-09-04"
2713,"2017-10-04"
2753,"2017-11-04"
2573,"2017-12-04"
2126,"2017-13-04"
993,"2017-14-04"
728,"2017-15-04"
659,"2017-16-04"
657,"2017-17-04"
1947,"2017-18-04"
2304,"2017-19-04"
2416,"2017-20-04"
2561,"2017-21-04"
1909,"2017-22-04"
1977,"2017-23-04"
3050,"2017-24-04"
2724,"2017-25-04"
2954,"2017-26-04"
3227,"2017-27-04"
2579,"2017-28-04"
1560,"2017-29-04"
1874,"2017-30-04"
489,"2017-01-05"
1957,"2017-02-05"
2399,"2017-03-05"
2656,"2017-04-05"
2658,"2017-05-05"
2016,"2017-06-05"
1520,"2017-07-05"
2748,"2017-08-05"
3394,"2017-09-05"
3697,"2017-10-05"
3573,"2017-11-05"
2384,"2017-12-05"
1544,"2017-13-05"
1425,"2017-14-05"
3678,"2017-15-05"
4102,"2017-16-05"
4246,"2017-17-05"
2715,"2017-18-05"
1664,"2017-19-05"
1735,"2017-20-05"
2243,"2017-21-05"
3927,"2017-22-05"
3927,"2017-23-05"
3567,"2017-24-05"
2137,"2017-25-05"
2905,"2017-26-05"
1966,"2017-27-05"
1683,"2017-28-05"
3493,"2017-29-05"
3503,"2017-30-05"
3808,"2017-31-05"
4140,"2017-01-06"
3127,"2017-02-06"
1416,"2017-03-06"
1387,"2017-04-06"
2048,"2017-05-06"
2308,"2017-06-06"
2507,"2017-07-06"
3321,"2017-08-06"
2487,"2017-09-06"
2106,"2017-10-06"
2112,"2017-11-06"
3481,"2017-12-06"
3643,"2017-13-06"
4024,"2017-14-06"
2268,"2017-15-06"
2822,"2017-16-06"
1720,"2017-17-06"
2720,"2017-18-06"
3971,"2017-19-06"
4204,"2017-20-06"
4106,"2017-21-06"
3575,"2017-22-06"
3605,"2017-23-06"
2004,"2017-24-06"
1552,"2017-25-06"
3487,"2017-26-06"
3279,"2017-27-06"
2400,"2017-28-06"
3071,"2017-29-06"
2893,"2017-30-06"
850,"2017-01-07"
1215,"2017-02-07"
3853,"2017-03-07"
3924,"2017-04-07"
4312,"2017-05-07"
3901,"2017-06-07"
3520,"2017-07-07"
1861,"2017-08-07"
1945,"2017-09-07"
2787,"2017-10-07"
3517,"2017-11-07"
1601,"2017-12-07"
3864,"2017-13-07"
2791,"2017-14-07"
1558,"2017-15-07"
1392,"2017-16-07"
2576,"2017-17-07"
3807,"2017-18-07"
2978,"2017-19-07"
2333,"2017-20-07"
3296,"2017-21-07"
2213,"2017-22-07"
1596,"2017-23-07"
1465,"2017-24-07"
1113,"2017-25-07"
2591,"2017-26-07"
2787,"2017-27-07"
2721,"2017-28-07"
1473,"2017-29-07"
1590,"2017-30-07"
3162,"2017-31-07"
2356,"2017-01-08"
2963,"2017-02-08"
2209,"2017-03-08"
2491,"2017-04-08"
1053,"2017-05-08"
1794,"2017-06-08"
3337,"2017-07-08"
2313,"2017-08-08"
3057,"2017-09-08"
1040,"2017-10-08"
1580,"2017-11-08"
757,"2017-12-08"
1734,"2017-13-08"
3287,"2017-14-08"
2455,"2017-15-08"
3560,"2017-16-08"
2826,"2017-17-08"
1200,"2017-18-08"
1241,"2017-19-08"
1182,"2017-20-08"
3194,"2017-21-08"
3508,"2017-22-08"
3655,"2017-23-08"
3386,"2017-24-08"
3009,"2017-25-08"
1651,"2017-26-08"
1828,"2017-27-08"
3652,"2017-28-08"
3908,"2017-29-08"
3104,"2017-30-08"
2070,"2017-31-08"
2978,"2017-01-09"
1468,"2017-02-09"
1950,"2017-03-09"
3588,"2017-04-09"
3561,"2017-05-09"
2409,"2017-06-09"
3187,"2017-07-09"
2009,"2017-08-09"
975,"2017-09-09"
1570,"2017-10-09"
2106,"2017-11-09"
2471,"2017-12-09"
2175,"2017-13-09"
2122,"2017-14-09"
2002,"2017-15-09"
1344,"2017-16-09"
1214,"2017-17-09"
2222,"2017-18-09"
2504,"2017-19-09"
2248,"2017-20-09"
3504,"2017-21-09"
2912,"2017-22-09"
1632,"2017-23-09"
1762,"2017-24-09"
3148,"2017-25-09"
3186,"2017-26-09"
3350,"2017-27-09"
2806,"2017-28-09"
3116,"2017-29-09"
815,"2017-30-09"
1570,"2017-01-10"
1948,"2017-02-10"
1142,"2017-03-10"
2846,"2017-04-10"
2409,"2017-05-10"
2005,"2017-06-10"
913,"2017-07-10"
892,"2017-08-10"
2683,"2017-09-10"
2774,"2017-10-10"
3085,"2017-11-10"
3278,"2017-12-10"
2934,"2017-13-10"
1900,"2017-14-10"
2195,"2017-15-10"
3577,"2017-16-10"
3454,"2017-17-10"
3581,"2017-18-10"
3610,"2017-19-10"
2220,"2017-20-10"
1126,"2017-21-10"
851,"2017-22-10"
2485,"2017-23-10"
2320,"2017-24-10"
2801,"2017-25-10"
2623,"2017-26-10"
2094,"2017-27-10"
859,"2017-28-10"
749,"2017-29-10"
1736,"2017-30-10"
810,"2017-31-10"
1150,"2017-01-11"
2393,"2017-02-11"
2187,"2017-03-11"
1388,"2017-04-11"
714,"2017-05-11"
2540,"2017-06-11"
2620,"2017-07-11"
2190,"2017-08-11"
2724,"2017-09-11"
2041,"2017-10-11"
503,"2017-11-11"
492,"2017-12-11"
2584,"2017-13-11"
2647,"2017-14-11"
2584,"2017-15-11"
2565,"2017-16-11"
2375,"2017-17-11"
979,"2017-18-11"
713,"2017-19-11"
1627,"2017-20-11"
1762,"2017-21-11"
2998,"2017-22-11"
2704,"2017-23-11"
1651,"2017-24-11"
813,"2017-25-11"
713,"2017-26-11"
1518,"2017-27-11"
2181,"2017-28-11"
2263,"2017-29-11"
1673,"2017-30-11"
1742,"2017-01-12"
794,"2017-02-12"
355,"2017-03-12"
1690,"2017-04-12"
2173,"2017-05-12"
2230,"2017-06-12"
1994,"2017-07-12"
1586,"2017-08-12"
491,"2017-09-12"
275,"2017-10-12"
1255,"2017-11-12"
1876,"2017-12-12"
1788,"2017-13-12"
1546,"2017-14-12"
1761,"2017-15-12"
680,"2017-16-12"
500,"2017-17-12"
1433,"2017-18-12"
1731,"2017-19-12"
1634,"2017-20-12"
1510,"2017-21-12"
1130,"2017-22-12"
562,"2017-23-12"
360,"2017-24-12"
376,"2017-25-12"
388,"2017-26-12"
833,"2017-27-12"
955,"2017-28-12"
757,"2017-29-12"
473,"2017-30-12"
437,"2017-31-12"
377,"2018-01-01"
1055,"2018-02-01"
997,"2018-03-01"
1423,"2018-04-01"
1615,"2018-05-01"
804,"2018-06-01"
974,"2018-07-01"
