"count","day"
2650,"2020-05-03"
3286,"2020-06-03"
2776,"2020-07-03"
1887,"2020-08-03"
5203,"2020-09-03"
4297,"2020-10-03"
3840,"2020-11-03"
4807,"2020-12-03"
4303,"2020-13-03"
2655,"2020-14-03"
2456,"2020-15-03"
4681,"2020-16-03"
4204,"2020-17-03"
3892,"2020-18-03"
3585,"2020-19-03"
2628,"2020-20-03"
1812,"2020-21-03"
1580,"2020-22-03"
2651,"2020-23-03"
2739,"2020-24-03"
2896,"2020-25-03"
2970,"2020-26-03"
3228,"2020-27-03"
2615,"2020-28-03"
819,"2020-29-03"
2607,"2020-30-03"
3006,"2020-31-03"
3203,"2020-01-04"
3091,"2020-02-04"
2731,"2020-03-04"
2753,"2020-04-04"
2873,"2020-05-04"
3778,"2020-06-04"
4075,"2020-07-04"
4191,"2020-08-04"
4165,"2020-09-04"
3270,"2020-10-04"
3337,"2020-11-04"
3201,"2020-12-04"
1699,"2020-13-04"
3085,"2020-14-04"
3930,"2020-15-04"
4523,"2020-16-04"
4606,"2020-17-04"
2779,"2020-18-04"
2611,"2020-19-04"
4600,"2020-20-04"
4784,"2020-21-04"
5044,"2020-22-04"
5191,"2020-23-04"
4839,"2020-24-04"
3779,"2020-25-04"
3952,"2020-26-04"
5243,"2020-27-04"
3706,"2020-28-04"
3787,"2020-29-04"
3419,"2020-30-04"
2179,"2020-01-05"
1881,"2020-02-05"
3033,"2020-03-05"
4172,"2020-04-05"
5563,"2020-05-05"
5492,"2020-06-05"
5854,"2020-07-05"
5667,"2020-08-05"
4640,"2020-09-05"
2349,"2020-10-05"
3894,"2020-11-05"
4828,"2020-12-05"
4927,"2020-13-05"
5478,"2020-14-05"
5676,"2020-15-05"
4401,"2020-16-05"
4151,"2020-17-05"
5792,"2020-18-05"
6314,"2020-19-05"
6239,"2020-20-05"
4767,"2020-21-05"
4501,"2020-22-05"
3330,"2020-23-05"
2880,"2020-24-05"
5315,"2020-25-05"
6503,"2020-26-05"
6726,"2020-27-05"
6817,"2020-28-05"
6339,"2020-29-05"
4415,"2020-30-05"
3805,"2020-31-05"
4214,"2020-01-06"
6350,"2020-02-06"
6433,"2020-03-06"
4204,"2020-04-06"
3703,"2020-05-06"
3347,"2020-06-06"
3522,"2020-07-06"
5972,"2020-08-06"
6215,"2020-09-06"
5662,"2020-10-06"
3501,"2020-11-06"
6223,"2020-12-06"
4265,"2020-13-06"
2899,"2020-14-06"
5886,"2020-15-06"
4648,"2020-16-06"
5536,"2020-17-06"
6120,"2020-18-06"
6470,"2020-19-06"
4947,"2020-20-06"
4714,"2020-21-06"
6498,"2020-22-06"
7590,"2020-23-06"
7760,"2020-24-06"
7582,"2020-25-06"
6638,"2020-26-06"
4368,"2020-27-06"
3409,"2020-28-06"
4821,"2020-29-06"
6225,"2020-30-06"
4580,"2020-01-07"
5387,"2020-02-07"
5742,"2020-03-07"
3966,"2020-04-07"
3531,"2020-05-07"
5270,"2020-06-07"
6095,"2020-07-07"
3158,"2020-08-07"
5289,"2020-09-07"
4954,"2020-10-07"
4053,"2020-11-07"
3764,"2020-12-07"
6227,"2020-13-07"
5325,"2020-14-07"
5731,"2020-15-07"
3954,"2020-16-07"
5355,"2020-17-07"
4561,"2020-18-07"
4043,"2020-19-07"
5424,"2020-20-07"
6401,"2020-21-07"
6368,"2020-22-07"
6374,"2020-23-07"
5360,"2020-24-07"
3708,"2020-25-07"
3202,"2020-26-07"
5313,"2020-27-07"
5842,"2020-28-07"
6273,"2020-29-07"
6427,"2020-30-07"
5583,"2020-31-07"
3600,"2020-01-08"
3560,"2020-02-08"
5591,"2020-03-08"
6459,"2020-04-08"
6673,"2020-05-08"
6390,"2020-06-08"
5686,"2020-07-08"
3904,"2020-08-08"
3171,"2020-09-08"
5945,"2020-10-08"
6476,"2020-11-08"
5388,"2020-12-08"
6000,"2020-13-08"
6148,"2020-14-08"
3799,"2020-15-08"
3575,"2020-16-08"
5532,"2020-17-08"
6372,"2020-18-08"
7212,"2020-19-08"
6941,"2020-20-08"
6010,"2020-21-08"
4399,"2020-22-08"
3486,"2020-23-08"
6301,"2020-24-08"
6312,"2020-25-08"
5080,"2020-26-08"
6982,"2020-27-08"
6082,"2020-28-08"
4081,"2020-29-08"
3388,"2020-30-08"
6049,"2020-31-08"
6605,"2020-01-09"
7154,"2020-02-09"
5506,"2020-03-09"
5582,"2020-04-09"
3857,"2020-05-09"
3557,"2020-06-09"
6455,"2020-07-09"
6923,"2020-08-09"
6769,"2020-09-09"
6994,"2020-10-09"
6532,"2020-11-09"
4429,"2020-12-09"
4116,"2020-13-09"
6888,"2020-14-09"
7528,"2020-15-09"
7377,"2020-16-09"
7151,"2020-17-09"
6787,"2020-18-09"
4736,"2020-19-09"
4025,"2020-20-09"
6938,"2020-21-09"
7601,"2020-22-09"
7053,"2020-23-09"
6641,"2020-24-09"
5644,"2020-25-09"
1861,"2020-26-09"
2326,"2020-27-09"
5070,"2020-28-09"
6194,"2020-29-09"
6270,"2020-30-09"
5527,"2020-01-10"
5624,"2020-02-10"
2152,"2020-03-10"
2539,"2020-04-10"
4935,"2020-05-10"
5199,"2020-06-10"
5483,"2020-07-10"
6731,"2020-08-10"
5342,"2020-09-10"
3175,"2020-10-10"
2686,"2020-11-10"
4570,"2020-12-10"
5290,"2020-13-10"
4834,"2020-14-10"
4616,"2020-15-10"
4443,"2020-16-10"
2822,"2020-17-10"
