"count","day"
1707,"2015-22-05"
2498,"2015-23-05"
1946,"2015-24-05"
814,"2015-25-05"
1491,"2015-26-05"
2232,"2015-27-05"
1907,"2015-28-05"
2021,"2015-29-05"
1115,"2015-30-05"
1264,"2015-31-05"
1887,"2015-01-06"
1802,"2015-02-06"
2422,"2015-03-06"
3968,"2015-04-06"
3223,"2015-05-06"
1483,"2015-06-06"
3120,"2015-07-06"
3026,"2015-08-06"
3034,"2015-09-06"
4003,"2015-10-06"
3680,"2015-11-06"
2914,"2015-12-06"
1415,"2015-13-06"
3025,"2015-14-06"
2940,"2015-15-06"
3359,"2015-16-06"
3378,"2015-17-06"
1976,"2015-18-06"
1989,"2015-19-06"
1117,"2015-20-06"
1220,"2015-21-06"
830,"2015-22-06"
1494,"2015-23-06"
2376,"2015-24-06"
3175,"2015-25-06"
2527,"2015-26-06"
1209,"2015-27-06"
2599,"2015-28-06"
3103,"2015-29-06"
3671,"2015-30-06"
3640,"2015-01-07"
3463,"2015-02-07"
2799,"2015-03-07"
1964,"2015-04-07"
1388,"2015-05-07"
3097,"2015-06-07"
2238,"2015-07-07"
1833,"2015-08-07"
1903,"2015-09-07"
2382,"2015-10-07"
2104,"2015-11-07"
1088,"2015-12-07"
991,"2015-13-07"
1611,"2015-14-07"
2189,"2015-15-07"
2743,"2015-16-07"
2558,"2015-17-07"
1820,"2015-18-07"
1028,"2015-19-07"
1390,"2015-20-07"
2058,"2015-21-07"
2213,"2015-22-07"
2203,"2015-23-07"
2012,"2015-24-07"
274,"2015-25-07"
1914,"2015-26-07"
992,"2015-27-07"
1410,"2015-28-07"
1411,"2015-29-07"
1067,"2015-30-07"
1831,"2015-31-07"
2102,"2015-01-08"
3358,"2015-02-08"
2894,"2015-03-08"
1182,"2015-04-08"
2671,"2015-05-08"
2995,"2015-06-08"
1977,"2015-07-08"
1285,"2015-08-08"
3185,"2015-09-08"
793,"2015-10-08"
2633,"2015-11-08"
3152,"2015-12-08"
4693,"2015-13-08"
2618,"2015-14-08"
1391,"2015-15-08"
312,"2015-16-08"
902,"2015-17-08"
2216,"2015-18-08"
2985,"2015-19-08"
3094,"2015-20-08"
3275,"2015-21-08"
4127,"2015-22-08"
2819,"2015-23-08"
2111,"2015-24-08"
2201,"2015-25-08"
3190,"2015-26-08"
1029,"2015-27-08"
2286,"2015-28-08"
3752,"2015-29-08"
3708,"2015-30-08"
3359,"2015-31-08"
918,"2015-01-09"
2482,"2015-02-09"
2366,"2015-03-09"
2047,"2015-04-09"
525,"2015-05-09"
1107,"2015-06-09"
1458,"2015-07-09"
2047,"2015-08-09"
2602,"2015-09-09"
2609,"2015-10-09"
2397,"2015-11-09"
860,"2015-12-09"
1031,"2015-13-09"
1704,"2015-14-09"
1912,"2015-15-09"
896,"2015-16-09"
1416,"2015-17-09"
1906,"2015-18-09"
2266,"2015-19-09"
1387,"2015-20-09"
2202,"2015-21-09"
1158,"2015-22-09"
1111,"2015-23-09"
1899,"2015-24-09"
2971,"2015-25-09"
1133,"2015-26-09"
1909,"2015-27-09"
2268,"2015-28-09"
2252,"2015-29-09"
2352,"2015-30-09"
2095,"2015-01-10"
1995,"2015-02-10"
1658,"2015-03-10"
1547,"2015-04-10"
1341,"2015-05-10"
1026,"2015-06-10"
1037,"2015-07-10"
560,"2015-08-10"
959,"2015-09-10"
879,"2015-10-10"
1407,"2015-11-10"
1324,"2015-12-10"
1159,"2015-13-10"
615,"2015-14-10"
569,"2015-15-10"
737,"2015-16-10"
483,"2015-17-10"
2462,"2015-18-10"
1690,"2015-19-10"
1766,"2015-20-10"
1935,"2015-21-10"
1644,"2015-22-10"
1880,"2015-23-10"
936,"2015-24-10"
788,"2015-25-10"
2301,"2015-26-10"
2456,"2015-27-10"
2004,"2015-28-10"
2080,"2015-29-10"
1789,"2015-30-10"
2520,"2015-31-10"
1296,"2015-01-11"
2161,"2015-02-11"
2146,"2015-03-11"
2041,"2015-04-11"
1899,"2015-05-11"
1591,"2015-06-11"
779,"2015-07-11"
1559,"2015-08-11"
1865,"2015-09-11"
1881,"2015-10-11"
1575,"2015-11-11"
1809,"2015-12-11"
1350,"2015-13-11"
695,"2015-14-11"
563,"2015-15-11"
1435,"2015-16-11"
1026,"2015-17-11"
1583,"2015-18-11"
1087,"2015-19-11"
1029,"2015-20-11"
1829,"2015-21-11"
582,"2015-22-11"
1524,"2015-23-11"
1210,"2015-24-11"
1034,"2015-25-11"
1413,"2015-26-11"
1267,"2015-27-11"
643,"2015-28-11"
278,"2015-29-11"
803,"2015-30-11"
574,"2015-01-12"
1375,"2015-02-12"
1480,"2015-03-12"
866,"2015-04-12"
1669,"2015-05-12"
534,"2015-06-12"
1573,"2015-07-12"
1671,"2015-08-12"
1476,"2015-09-12"
1466,"2015-10-12"
684,"2015-11-12"
464,"2015-12-12"
214,"2015-13-12"
1373,"2015-14-12"
1438,"2015-15-12"
811,"2015-16-12"
1349,"2015-17-12"
1264,"2015-18-12"
2054,"2015-19-12"
1245,"2015-20-12"
1160,"2015-21-12"
860,"2015-22-12"
635,"2015-23-12"
385,"2015-24-12"
146,"2015-25-12"
795,"2015-26-12"
686,"2015-27-12"
740,"2015-28-12"
731,"2015-29-12"
645,"2015-30-12"
385,"2015-31-12"
394,"2016-01-01"
214,"2016-02-01"
432,"2016-03-01"
489,"2016-04-01"
815,"2016-05-01"
907,"2016-06-01"
916,"2016-07-01"
1430,"2016-08-01"
850,"2016-09-01"
880,"2016-10-01"
991,"2016-11-01"
1293,"2016-12-01"
868,"2016-13-01"
1007,"2016-14-01"
875,"2016-15-01"
368,"2016-16-01"
455,"2016-17-01"
1201,"2016-18-01"
1098,"2016-19-01"
1129,"2016-20-01"
1129,"2016-21-01"
1018,"2016-22-01"
1537,"2016-23-01"
433,"2016-24-01"
1525,"2016-25-01"
1552,"2016-26-01"
1246,"2016-27-01"
1482,"2016-28-01"
1239,"2016-29-01"
237,"2016-30-01"
414,"2016-31-01"
1153,"2016-01-02"
685,"2016-02-02"
1097,"2016-03-02"
462,"2016-04-02"
547,"2016-05-02"
702,"2016-06-02"
353,"2016-07-02"
323,"2016-08-02"
562,"2016-09-02"
829,"2016-10-02"
1280,"2016-11-02"
1299,"2016-12-02"
895,"2016-13-02"
343,"2016-14-02"
755,"2016-15-02"
1268,"2016-16-02"
1266,"2016-17-02"
1216,"2016-18-02"
937,"2016-19-02"
310,"2016-20-02"
414,"2016-21-02"
796,"2016-22-02"
791,"2016-23-02"
1141,"2016-24-02"
1120,"2016-25-02"
1924,"2016-26-02"
970,"2016-27-02"
795,"2016-28-02"
1354,"2016-29-02"
1052,"2016-01-03"
985,"2016-02-03"
870,"2016-03-03"
724,"2016-04-03"
1145,"2016-05-03"
311,"2016-06-03"
1033,"2016-07-03"
1172,"2016-08-03"
1439,"2016-09-03"
1433,"2016-10-03"
1244,"2016-11-03"
731,"2016-12-03"
1630,"2016-13-03"
1677,"2016-14-03"
1450,"2016-15-03"
1597,"2016-16-03"
1718,"2016-17-03"
1197,"2016-18-03"
1869,"2016-19-03"
604,"2016-20-03"
965,"2016-21-03"
1077,"2016-22-03"
909,"2016-23-03"
851,"2016-24-03"
206,"2016-25-03"
1139,"2016-26-03"
420,"2016-27-03"
323,"2016-28-03"
897,"2016-29-03"
1040,"2016-30-03"
618,"2016-31-03"
1366,"2016-01-04"
1547,"2016-02-04"
1762,"2016-03-04"
2088,"2016-04-04"
1111,"2016-05-04"
2068,"2016-06-04"
1722,"2016-07-04"
1668,"2016-08-04"
1772,"2016-09-04"
3842,"2016-10-04"
3183,"2016-11-04"
2602,"2016-12-04"
2412,"2016-13-04"
2878,"2016-14-04"
1883,"2016-15-04"
863,"2016-16-04"
1262,"2016-17-04"
2738,"2016-18-04"
2552,"2016-19-04"
3193,"2016-20-04"
3346,"2016-21-04"
2314,"2016-22-04"
2008,"2016-23-04"
608,"2016-24-04"
1372,"2016-25-04"
1370,"2016-26-04"
1958,"2016-27-04"
1789,"2016-28-04"
1627,"2016-29-04"
589,"2016-30-04"
1624,"2016-01-05"
3234,"2016-02-05"
2259,"2016-03-05"
2892,"2016-04-05"
3107,"2016-05-05"
2459,"2016-06-05"
3956,"2016-07-05"
2876,"2016-08-05"
3660,"2016-09-05"
3123,"2016-10-05"
3847,"2016-11-05"
3546,"2016-12-05"
2925,"2016-13-05"
814,"2016-14-05"
748,"2016-15-05"
1063,"2016-16-05"
1780,"2016-17-05"
2099,"2016-18-05"
2212,"2016-19-05"
